TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-01-22 14:47:11.925641;50; ;-4.80566e-07
2026-01-22 14:47:12.573408;100; ;-1.07848e-06
2026-01-22 14:47:13.223072;150; ;-1.96883e-06
2026-01-22 14:47:13.870566;200; ;-2.55929e-06
2026-01-22 14:47:14.525493;250; ;-3.26337e-06
2026-01-22 14:47:15.177280;300; ;-4.01403e-06
2026-01-22 14:47:15.821324;350; ;-4.50204e-06
2026-01-22 14:47:16.468714;400; ;-5.06456e-06
2026-01-22 14:47:17.120822;450; ;-5.08319e-06
2026-01-22 14:47:17.776686;500; ;-4.34372e-06
2026-01-22 14:47:18.433958;550; ;-3.36954e-06
2026-01-22 14:47:19.085356;600; ;-2.58164e-06
2026-01-22 14:47:19.737057;650; ;-2.08059e-06
2026-01-22 14:47:20.383170;700; ;-1.85893e-06
2026-01-22 14:47:21.032764;750; ;-1.92971e-06
2026-01-22 14:47:21.684042;800; ;-1.90549e-06
2026-01-22 14:47:22.343095;850; ;-2.08059e-06
2026-01-22 14:47:22.999671;900; ;-2.16627e-06
2026-01-22 14:47:23.647078;950; ;-2.51459e-06
2026-01-22 14:47:24.293799;1000; ;-2.82006e-06
2026-01-22 14:47:24.941805;1050; ;-3.29503e-06
2026-01-22 14:47:25.589498;1100; ;-3.73834e-06
2026-01-22 14:47:26.244259;1150; ;-4.08481e-06
2026-01-22 14:47:26.895940;1200; ;-4.23382e-06
2026-01-22 14:47:27.544086;1250; ;-4.37538e-06
2026-01-22 14:47:28.202815;1300; ;-4.07177e-06
2026-01-22 14:47:28.841905;1350; ;-3.41052e-06
2026-01-22 14:47:29.495426;1400; ;-2.88711e-06
2026-01-22 14:47:30.137545;1450; ;-2.51831e-06
2026-01-22 14:47:30.786745;1500; ;-2.21842e-06
2026-01-22 14:47:31.450115;1550; ;-2.075e-06
2026-01-22 14:47:32.101722;1600; ;-2.10667e-06
2026-01-22 14:47:32.753886;1650; ;-2.31901e-06
2026-01-22 14:47:33.405178;1700; ;-2.50155e-06
2026-01-22 14:47:34.057128;1750; ;-2.70644e-06
2026-01-22 14:47:34.715291;1800; ;-3.1572e-06
2026-01-22 14:47:35.381255;1850; ;-3.29131e-06
2026-01-22 14:47:36.042987;1900; ;-3.74207e-06
2026-01-22 14:47:36.704114;1950; ;-4.01962e-06
2026-01-22 14:47:37.359098;2000; ;-4.23755e-06
2026-01-22 14:47:38.019543;2050; ;-4.32323e-06
2026-01-22 14:47:38.670531;2100; ;-4.00472e-06
2026-01-22 14:47:39.336785;2150; ;-3.45895e-06
2026-01-22 14:47:39.995819;2200; ;-2.94858e-06
2026-01-22 14:47:40.645700;2250; ;-2.87966e-06
2026-01-22 14:47:41.305215;2300; ;-2.72134e-06
