TIMESTAMP;setFrequency; RESULTS;readOutput
2026-01-22 14:10:22.532711;2730000000.0; ;-9.79759e-07
2026-01-22 14:10:23.399204;2731000000.0; ;-1.05054e-06
2026-01-22 14:10:24.237209;2732000000.0; ;-1.01515e-06
2026-01-22 14:10:25.094157;2733000000.0; ;-1.06358e-06
2026-01-22 14:10:25.959358;2734000000.0; ;-1.11573e-06
2026-01-22 14:10:26.797060;2735000000.0; ;-1.00584e-06
2026-01-22 14:10:27.664069;2736000000.0; ;-1.11946e-06
2026-01-22 14:10:28.511400;2737000000.0; ;-1.15671e-06
2026-01-22 14:10:29.374335;2738000000.0; ;-1.07475e-06
2026-01-22 14:10:30.228557;2739000000.0; ;-1.06172e-06
2026-01-22 14:10:31.088705;2740000000.0; ;-8.88485e-07
2026-01-22 14:10:31.943697;2741000000.0; ;-9.36914e-07
2026-01-22 14:10:32.779422;2742000000.0; ;-8.7731e-07
2026-01-22 14:10:33.631493;2743000000.0; ;-1.07475e-06
2026-01-22 14:10:34.491450;2744000000.0; ;-9.62995e-07
2026-01-22 14:10:35.338058;2745000000.0; ;-8.92211e-07
2026-01-22 14:10:36.218087;2746000000.0; ;-7.99078e-07
2026-01-22 14:10:37.098424;2747000000.0; ;-8.88485e-07
2026-01-22 14:10:37.973300;2748000000.0; ;-6.83594e-07
2026-01-22 14:10:38.820800;2749000000.0; ;-7.581e-07
2026-01-22 14:10:39.685627;2750000000.0; ;-7.97216e-07
2026-01-22 14:10:40.543665;2751000000.0; ;-9.29464e-07
2026-01-22 14:10:41.395834;2752000000.0; ;-8.81035e-07
2026-01-22 14:10:42.233309;2753000000.0; ;-8.34469e-07
2026-01-22 14:10:43.091711;2754000000.0; ;-8.64271e-07
2026-01-22 14:10:43.944429;2755000000.0; ;-8.40057e-07
2026-01-22 14:10:44.791714;2756000000.0; ;-6.72419e-07
2026-01-22 14:10:45.659141;2757000000.0; ;-6.72419e-07
2026-01-22 14:10:46.535376;2758000000.0; ;-6.46342e-07
2026-01-22 14:10:47.390717;2759000000.0; ;-8.2143e-07
2026-01-22 14:10:48.232432;2760000000.0; ;-6.74281e-07
2026-01-22 14:10:49.072890;2761000000.0; ;-4.95467e-07
2026-01-22 14:10:49.941714;2762000000.0; ;-5.71836e-07
2026-01-22 14:10:50.790466;2763000000.0; ;-5.62522e-07
2026-01-22 14:10:51.645964;2764000000.0; ;-5.40171e-07
2026-01-22 14:10:52.506716;2765000000.0; ;-5.64385e-07
2026-01-22 14:10:53.362273;2766000000.0; ;-4.71251e-07
2026-01-22 14:10:54.217946;2767000000.0; ;-5.01055e-07
2026-01-22 14:10:55.095749;2768000000.0; ;-6.01638e-07
2026-01-22 14:10:55.927624;2769000000.0; ;-6.42616e-07
2026-01-22 14:10:56.769603;2770000000.0; ;-5.94187e-07
2026-01-22 14:10:57.612032;2771000000.0; ;-6.57517e-07
2026-01-22 14:10:58.462197;2772000000.0; ;-7.11534e-07
2026-01-22 14:10:59.347664;2773000000.0; ;-6.98496e-07
2026-01-22 14:11:00.212156;2774000000.0; ;-8.10254e-07
2026-01-22 14:11:01.051826;2775000000.0; ;-6.68693e-07
2026-01-22 14:11:01.906070;2776000000.0; ;-6.03501e-07
2026-01-22 14:11:02.768784;2777000000.0; ;-7.69276e-07
2026-01-22 14:11:03.623066;2778000000.0; ;-7.20847e-07
2026-01-22 14:11:04.487206;2779000000.0; ;-7.26435e-07
2026-01-22 14:11:05.339303;2780000000.0; ;-7.48787e-07
2026-01-22 14:11:06.197299;2781000000.0; ;-7.46924e-07
2026-01-22 14:11:07.051385;2782000000.0; ;-6.66831e-07
2026-01-22 14:11:07.906437;2783000000.0; ;-8.19568e-07
2026-01-22 14:11:08.760117;2784000000.0; ;-5.55072e-07
2026-01-22 14:11:09.629703;2785000000.0; ;-7.18985e-07
2026-01-22 14:11:10.494311;2786000000.0; ;-7.41336e-07
2026-01-22 14:11:11.346650;2787000000.0; ;-8.15842e-07
2026-01-22 14:11:12.206145;2788000000.0; ;-9.68583e-07
2026-01-22 14:11:13.080796;2789000000.0; ;-9.87209e-07
2026-01-22 14:11:13.940636;2790000000.0; ;-8.66134e-07
2026-01-22 14:11:14.789634;2791000000.0; ;-1.02074e-06
2026-01-22 14:11:15.639476;2792000000.0; ;-1.06358e-06
