TIMESTAMP;setFrequency; RESULTS;readOutput
2026-01-22 14:02:50.857708;2830000000.0; ;-1.69502e-07
2026-01-22 14:02:51.699506;2831000000.0; ;-2.75673e-07
2026-01-22 14:02:52.527759;2832000000.0; ;-2.34694e-07
2026-01-22 14:02:53.368573;2833000000.0; ;-3.91157e-07
2026-01-22 14:02:54.219395;2834000000.0; ;-3.22239e-07
2026-01-22 14:02:55.070454;2835000000.0; ;-3.44591e-07
2026-01-22 14:02:55.894015;2836000000.0; ;-3.39003e-07
2026-01-22 14:02:56.738423;2837000000.0; ;-4.13509e-07
2026-01-22 14:02:57.569355;2838000000.0; ;-3.85569e-07
2026-01-22 14:02:58.420490;2839000000.0; ;-2.57047e-07
2026-01-22 14:02:59.259979;2840000000.0; ;-4.2841e-07
2026-01-22 14:03:00.116802;2841000000.0; ;-3.35278e-07
2026-01-22 14:03:00.952154;2842000000.0; ;-5.77424e-07
2026-01-22 14:03:01.814181;2843000000.0; ;-3.81844e-07
2026-01-22 14:03:02.651684;2844000000.0; ;-4.54487e-07
2026-01-22 14:03:03.484927;2845000000.0; ;-4.76841e-07
2026-01-22 14:03:04.339625;2846000000.0; ;-4.67526e-07
2026-01-22 14:03:05.160563;2847000000.0; ;-5.92325e-07
2026-01-22 14:03:06.006753;2848000000.0; ;-6.66831e-07
2026-01-22 14:03:06.869146;2849000000.0; ;-8.00941e-07
2026-01-22 14:03:07.707427;2850000000.0; ;-9.79759e-07
2026-01-22 14:03:08.537874;2851000000.0; ;-9.51815e-07
2026-01-22 14:03:09.379675;2852000000.0; ;-9.22013e-07
2026-01-22 14:03:10.206735;2853000000.0; ;-1.07848e-06
2026-01-22 14:03:11.046940;2854000000.0; ;-1.20514e-06
2026-01-22 14:03:11.881711;2855000000.0; ;-1.35601e-06
2026-01-22 14:03:12.717289;2856000000.0; ;-1.42493e-06
2026-01-22 14:03:13.552689;2857000000.0; ;-1.59629e-06
2026-01-22 14:03:14.387228;2858000000.0; ;-1.96138e-06
2026-01-22 14:03:15.230998;2859000000.0; ;-2.39165e-06
2026-01-22 14:03:16.074178;2860000000.0; ;-2.8778e-06
2026-01-22 14:03:16.917761;2861000000.0; ;-3.30062e-06
2026-01-22 14:03:17.755646;2862000000.0; ;-4.04383e-06
2026-01-22 14:03:18.588191;2863000000.0; ;-4.91927e-06
2026-01-22 14:03:19.433385;2864000000.0; ;-6.50625e-06
2026-01-22 14:03:20.263228;2865000000.0; ;-8.38941e-06
2026-01-22 14:03:21.106824;2866000000.0; ;-1.06078e-05
2026-01-22 14:03:21.947429;2867000000.0; ;-1.25021e-05
2026-01-22 14:03:22.777307;2868000000.0; ;-1.34428e-05
2026-01-22 14:03:23.607497;2869000000.0; ;-1.36458e-05
2026-01-22 14:03:24.451338;2870000000.0; ;-1.37296e-05
2026-01-22 14:03:25.319424;2871000000.0; ;-1.37706e-05
2026-01-22 14:03:26.160350;2872000000.0; ;-1.30106e-05
2026-01-22 14:03:26.995585;2873000000.0; ;-1.10772e-05
2026-01-22 14:03:27.837463;2874000000.0; ;-8.91468e-06
2026-01-22 14:03:28.670343;2875000000.0; ;-6.89182e-06
