TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-01-22 14:51:45.460405;5350; ;-3.48689e-06
2026-01-22 14:51:46.138533;5400; ;-3.45708e-06
2026-01-22 14:51:46.799592;5450; ;-3.46826e-06
2026-01-22 14:51:47.468981;5500; ;-3.60796e-06
2026-01-22 14:51:48.146267;5550; ;-3.49247e-06
2026-01-22 14:51:48.815520;5600; ;-3.87806e-06
2026-01-22 14:51:49.492929;5650; ;-4.18539e-06
2026-01-22 14:51:50.149017;5700; ;-4.55606e-06
2026-01-22 14:51:50.828702;5750; ;-4.70135e-06
2026-01-22 14:51:51.486454;5800; ;-4.74046e-06
2026-01-22 14:51:52.171859;5850; ;-4.53184e-06
2026-01-22 14:51:52.848966;5900; ;-4.20029e-06
2026-01-22 14:51:53.525617;5950; ;-3.90786e-06
2026-01-22 14:51:54.193870;6000; ;-3.83149e-06
2026-01-22 14:51:54.872474;6050; ;-3.68991e-06
2026-01-22 14:51:55.542026;6100; ;-3.6955e-06
2026-01-22 14:51:56.212208;6150; ;-3.84453e-06
2026-01-22 14:51:56.881001;6200; ;-3.93952e-06
2026-01-22 14:51:57.561083;6250; ;-4.27294e-06
2026-01-22 14:51:58.224596;6300; ;-4.55233e-06
2026-01-22 14:51:58.915689;6350; ;-4.33254e-06
2026-01-22 14:51:59.604021;6400; ;-4.61753e-06
2026-01-22 14:52:00.273143;6450; ;-4.80379e-06
2026-01-22 14:52:00.947500;6500; ;-4.76468e-06
2026-01-22 14:52:01.605089;6550; ;-4.33254e-06
2026-01-22 14:52:02.284694;6600; ;-4.65292e-06
2026-01-22 14:52:02.933104;6650; ;-4.21706e-06
2026-01-22 14:52:03.628053;6700; ;-4.21333e-06
2026-01-22 14:52:04.304498;6750; ;-3.86129e-06
2026-01-22 14:52:04.971305;6800; ;-3.97491e-06
2026-01-22 14:52:05.649565;6850; ;-4.11089e-06
2026-01-22 14:52:06.333153;6900; ;-4.05501e-06
2026-01-22 14:52:06.989958;6950; ;-3.97305e-06
2026-01-22 14:52:07.666001;7000; ;-4.24872e-06
2026-01-22 14:52:08.349130;7050; ;-4.63988e-06
2026-01-22 14:52:09.025003;7100; ;-4.78889e-06
2026-01-22 14:52:09.704762;7150; ;-4.83546e-06
2026-01-22 14:52:10.371888;7200; ;-4.9379e-06
2026-01-22 14:52:11.052216;7250; ;-4.82055e-06
2026-01-22 14:52:11.719063;7300; ;-4.57096e-06
2026-01-22 14:52:12.406430;7350; ;-4.3344e-06
2026-01-22 14:52:13.070951;7400; ;-4.11275e-06
2026-01-22 14:52:13.752381;7450; ;-4.19843e-06
2026-01-22 14:52:14.414389;7500; ;-4.02334e-06
2026-01-22 14:52:15.099565;7550; ;-3.99168e-06
2026-01-22 14:52:15.785290;7600; ;-4.06991e-06
2026-01-22 14:52:16.451787;7650; ;-4.36421e-06
2026-01-22 14:52:17.133427;7700; ;-4.6585e-06
2026-01-22 14:52:17.824377;7750; ;-4.75909e-06
2026-01-22 14:52:18.484054;7800; ;-4.74977e-06
2026-01-22 14:52:19.160478;7850; ;-4.7833e-06
2026-01-22 14:52:19.848690;7900; ;-4.93231e-06
2026-01-22 14:52:20.525462;7950; ;-4.9826e-06
2026-01-22 14:52:21.189285;8000; ;-4.84663e-06
2026-01-22 14:52:21.879432;8050; ;-4.40332e-06
2026-01-22 14:52:22.563580;8100; ;-4.33627e-06
2026-01-22 14:52:23.241738;8150; ;-4.49273e-06
