TIMESTAMP;setFrequency; RESULTS;readOutput
2026-01-22 14:21:16.702111;2730000000.0; ;-7.30161e-07
2026-01-22 14:21:17.558705;2731000000.0; ;-9.5927e-07
2026-01-22 14:21:18.389004;2732000000.0; ;-1.05985e-06
2026-01-22 14:21:19.232698;2733000000.0; ;-9.74171e-07
2026-01-22 14:21:20.067488;2734000000.0; ;-1.09711e-06
2026-01-22 14:21:20.931395;2735000000.0; ;-1.03005e-06
2026-01-22 14:21:21.763638;2736000000.0; ;-9.6672e-07
2026-01-22 14:21:22.596380;2737000000.0; ;-9.6672e-07
2026-01-22 14:21:23.438317;2738000000.0; ;-9.85347e-07
2026-01-22 14:21:24.271452;2739000000.0; ;-1.00584e-06
2026-01-22 14:21:25.129109;2740000000.0; ;-1.04123e-06
2026-01-22 14:21:25.960856;2741000000.0; ;-8.75447e-07
2026-01-22 14:21:26.811863;2742000000.0; ;-9.2015e-07
2026-01-22 14:21:27.645690;2743000000.0; ;-9.33189e-07
2026-01-22 14:21:28.511070;2744000000.0; ;-8.45645e-07
2026-01-22 14:21:29.358224;2745000000.0; ;-9.01524e-07
2026-01-22 14:21:30.184605;2746000000.0; ;-8.32606e-07
2026-01-22 14:21:31.044342;2747000000.0; ;-7.54375e-07
2026-01-22 14:21:31.875654;2748000000.0; ;-7.97216e-07
2026-01-22 14:21:32.724507;2749000000.0; ;-7.87903e-07
2026-01-22 14:21:33.546469;2750000000.0; ;-8.71722e-07
2026-01-22 14:21:34.385802;2751000000.0; ;-7.78589e-07
2026-01-22 14:21:35.241676;2752000000.0; ;-8.71722e-07
2026-01-22 14:21:36.075214;2753000000.0; ;-6.89182e-07
2026-01-22 14:21:36.907269;2754000000.0; ;-7.73001e-07
2026-01-22 14:21:37.758195;2755000000.0; ;-7.5065e-07
2026-01-22 14:21:38.591831;2756000000.0; ;-7.18985e-07
2026-01-22 14:21:39.439617;2757000000.0; ;-6.10951e-07
2026-01-22 14:21:40.294960;2758000000.0; ;-6.12814e-07
2026-01-22 14:21:41.132413;2759000000.0; ;-6.29578e-07
2026-01-22 14:21:41.970965;2760000000.0; ;-6.33303e-07
2026-01-22 14:21:42.811429;2761000000.0; ;-6.38891e-07
2026-01-22 14:21:43.654943;2762000000.0; ;-6.35166e-07
2026-01-22 14:21:44.492450;2763000000.0; ;-6.18402e-07
2026-01-22 14:21:45.337538;2764000000.0; ;-7.5065e-07
2026-01-22 14:21:46.173419;2765000000.0; ;-7.05946e-07
2026-01-22 14:21:46.999450;2766000000.0; ;-8.58683e-07
2026-01-22 14:21:47.834052;2767000000.0; ;-8.73584e-07
2026-01-22 14:21:48.674024;2768000000.0; ;-9.38777e-07
2026-01-22 14:21:49.514875;2769000000.0; ;-1.08965e-06
2026-01-22 14:21:50.333487;2770000000.0; ;-1.13063e-06
2026-01-22 14:21:51.181916;2771000000.0; ;-1.30758e-06
2026-01-22 14:21:52.034134;2772000000.0; ;-1.30945e-06
2026-01-22 14:21:52.865548;2773000000.0; ;-1.59071e-06
2026-01-22 14:21:53.703054;2774000000.0; ;-1.65962e-06
2026-01-22 14:21:54.542404;2775000000.0; ;-1.92599e-06
2026-01-22 14:21:55.381646;2776000000.0; ;-1.99677e-06
2026-01-22 14:21:56.218850;2777000000.0; ;-2.27803e-06
2026-01-22 14:21:57.047305;2778000000.0; ;-2.5835e-06
2026-01-22 14:21:57.885322;2779000000.0; ;-3.35836e-06
2026-01-22 14:21:58.721521;2780000000.0; ;-4.10344e-06
2026-01-22 14:21:59.571978;2781000000.0; ;-4.57469e-06
2026-01-22 14:22:00.407655;2782000000.0; ;-4.71625e-06
2026-01-22 14:22:01.238440;2783000000.0; ;-4.76281e-06
2026-01-22 14:22:02.081414;2784000000.0; ;-4.35489e-06
2026-01-22 14:22:02.909401;2785000000.0; ;-4.08108e-06
2026-01-22 14:22:03.750073;2786000000.0; ;-3.29503e-06
2026-01-22 14:22:04.579305;2787000000.0; ;-2.62448e-06
2026-01-22 14:22:05.431865;2788000000.0; ;-2.075e-06
2026-01-22 14:22:06.277260;2789000000.0; ;-1.74344e-06
2026-01-22 14:22:07.138398;2790000000.0; ;-1.41748e-06
2026-01-22 14:22:07.970011;2791000000.0; ;-1.25357e-06
2026-01-22 14:22:08.819269;2792000000.0; ;-1.19396e-06
2026-01-22 14:22:09.658880;2793000000.0; ;-1.09524e-06
2026-01-22 14:22:10.478520;2794000000.0; ;-8.73584e-07
2026-01-22 14:22:11.305832;2795000000.0; ;-8.64271e-07
2026-01-22 14:22:12.150650;2796000000.0; ;-8.08392e-07
2026-01-22 14:22:12.988923;2797000000.0; ;-6.85457e-07
2026-01-22 14:22:13.824851;2798000000.0; ;-6.35166e-07
2026-01-22 14:22:14.676005;2799000000.0; ;-6.66831e-07
2026-01-22 14:22:15.513042;2800000000.0; ;-6.61243e-07
2026-01-22 14:22:16.361234;2801000000.0; ;-5.51347e-07
2026-01-22 14:22:17.176225;2802000000.0; ;-3.46454e-07
2026-01-22 14:22:18.032611;2803000000.0; ;-3.89295e-07
2026-01-22 14:22:18.888840;2804000000.0; ;-3.31553e-07
2026-01-22 14:22:19.726665;2805000000.0; ;-2.49596e-07
2026-01-22 14:22:20.585453;2806000000.0; ;-2.55184e-07
2026-01-22 14:22:21.421348;2807000000.0; ;-1.24798e-07
2026-01-22 14:22:22.246509;2808000000.0; ;-2.16068e-07
2026-01-22 14:22:23.087205;2809000000.0; ;-1.84403e-07
2026-01-22 14:22:23.922836;2810000000.0; ;0.0
2026-01-22 14:22:24.772142;2811000000.0; ;-9.49954e-08
2026-01-22 14:22:25.602688;2812000000.0; ;1.49013e-08
2026-01-22 14:22:26.438090;2813000000.0; ;3.53905e-08
2026-01-22 14:22:27.270363;2814000000.0; ;-1.86266e-09
2026-01-22 14:22:28.108872;2815000000.0; ;-7.63689e-08
2026-01-22 14:22:28.938071;2816000000.0; ;3.91158e-08
2026-01-22 14:22:29.772891;2817000000.0; ;-1.65776e-07
2026-01-22 14:22:30.614086;2818000000.0; ;-1.95579e-07
2026-01-22 14:22:31.458646;2819000000.0; ;-1.26661e-07
2026-01-22 14:22:32.293431;2820000000.0; ;-1.60188e-07
2026-01-22 14:22:33.126815;2821000000.0; ;-2.79399e-07
2026-01-22 14:22:33.982693;2822000000.0; ;-1.13622e-07
2026-01-22 14:22:34.826397;2823000000.0; ;-2.86849e-07
2026-01-22 14:22:35.661130;2824000000.0; ;-1.41562e-07
2026-01-22 14:22:36.505455;2825000000.0; ;-1.50875e-07
2026-01-22 14:22:37.339877;2826000000.0; ;-2.58909e-07
2026-01-22 14:22:38.188772;2827000000.0; ;-3.11064e-07
2026-01-22 14:22:39.029675;2828000000.0; ;-2.51459e-07
2026-01-22 14:22:39.888729;2829000000.0; ;-2.51459e-07
2026-01-22 14:22:40.722239;2830000000.0; ;-2.25381e-07
2026-01-22 14:22:41.572021;2831000000.0; ;-3.11064e-07
2026-01-22 14:22:42.398680;2832000000.0; ;-4.00471e-07
2026-01-22 14:22:43.248802;2833000000.0; ;-3.61355e-07
2026-01-22 14:22:44.075965;2834000000.0; ;-2.90574e-07
2026-01-22 14:22:44.923007;2835000000.0; ;-1.93716e-07
2026-01-22 14:22:45.776396;2836000000.0; ;-2.86849e-07
2026-01-22 14:22:46.594211;2837000000.0; ;-2.19793e-07
2026-01-22 14:22:47.436684;2838000000.0; ;-3.68806e-07
2026-01-22 14:22:48.278200;2839000000.0; ;-2.83124e-07
2026-01-22 14:22:49.118344;2840000000.0; ;-3.07338e-07
2026-01-22 14:22:49.967101;2841000000.0; ;-4.17234e-07
2026-01-22 14:22:50.808804;2842000000.0; ;-2.98025e-07
2026-01-22 14:22:51.648015;2843000000.0; ;-3.81844e-07
2026-01-22 14:22:52.485112;2844000000.0; ;-3.94883e-07
2026-01-22 14:22:53.305495;2845000000.0; ;-4.74976e-07
2026-01-22 14:22:54.158855;2846000000.0; ;-5.2527e-07
2026-01-22 14:22:54.989208;2847000000.0; ;-5.40171e-07
2026-01-22 14:22:55.833164;2848000000.0; ;-4.45174e-07
2026-01-22 14:22:56.681857;2849000000.0; ;-5.6066e-07
2026-01-22 14:22:57.511321;2850000000.0; ;-4.95467e-07
2026-01-22 14:22:58.343795;2851000000.0; ;-6.50067e-07
2026-01-22 14:22:59.192661;2852000000.0; ;-6.89182e-07
2026-01-22 14:23:00.020872;2853000000.0; ;-6.78006e-07
2026-01-22 14:23:00.857331;2854000000.0; ;-7.33886e-07
2026-01-22 14:23:01.705599;2855000000.0; ;-7.04084e-07
2026-01-22 14:23:02.539972;2856000000.0; ;-6.83594e-07
2026-01-22 14:23:03.373887;2857000000.0; ;-7.74864e-07
2026-01-22 14:23:04.222015;2858000000.0; ;-8.88485e-07
2026-01-22 14:23:05.056584;2859000000.0; ;-1.10828e-06
2026-01-22 14:23:05.901513;2860000000.0; ;-9.83484e-07
2026-01-22 14:23:06.748446;2861000000.0; ;-1.15857e-06
2026-01-22 14:23:07.582211;2862000000.0; ;-1.15671e-06
2026-01-22 14:23:08.415553;2863000000.0; ;-1.38023e-06
2026-01-22 14:23:09.246900;2864000000.0; ;-1.43238e-06
2026-01-22 14:23:10.099065;2865000000.0; ;-1.60002e-06
2026-01-22 14:23:10.948933;2866000000.0; ;-1.84216e-06
2026-01-22 14:23:11.792510;2867000000.0; ;-2.27617e-06
2026-01-22 14:23:12.642339;2868000000.0; ;-2.77536e-06
2026-01-22 14:23:13.477804;2869000000.0; ;-2.99887e-06
2026-01-22 14:23:14.319335;2870000000.0; ;-3.62286e-06
2026-01-22 14:23:15.161805;2871000000.0; ;-4.66596e-06
2026-01-22 14:23:15.994101;2872000000.0; ;-5.90275e-06
2026-01-22 14:23:16.827318;2873000000.0; ;-6.86201e-06
2026-01-22 14:23:17.673239;2874000000.0; ;-6.25852e-06
2026-01-22 14:23:18.524853;2875000000.0; ;-4.97702e-06
2026-01-22 14:23:19.356101;2876000000.0; ;-4.46665e-06
2026-01-22 14:23:20.197720;2877000000.0; ;-5.16887e-06
2026-01-22 14:23:21.049242;2878000000.0; ;-6.4839e-06
2026-01-22 14:23:21.879280;2879000000.0; ;-7.02406e-06
2026-01-22 14:23:22.732524;2880000000.0; ;-6.15235e-06
2026-01-22 14:23:23.582361;2881000000.0; ;-4.86153e-06
2026-01-22 14:23:24.426147;2882000000.0; ;-3.91531e-06
2026-01-22 14:23:25.266564;2883000000.0; ;-3.57257e-06
2026-01-22 14:23:26.117855;2884000000.0; ;-2.67477e-06
2026-01-22 14:23:26.958832;2885000000.0; ;-2.13088e-06
2026-01-22 14:23:27.789707;2886000000.0; ;-1.7956e-06
2026-01-22 14:23:28.639858;2887000000.0; ;-1.4566e-06
2026-01-22 14:23:29.489363;2888000000.0; ;-1.4063e-06
2026-01-22 14:23:30.332943;2889000000.0; ;-1.03005e-06
2026-01-22 14:23:31.173075;2890000000.0; ;-9.89072e-07
2026-01-22 14:23:32.016170;2891000000.0; ;-8.47507e-07
2026-01-22 14:23:32.856229;2892000000.0; ;-7.45062e-07
2026-01-22 14:23:33.696251;2893000000.0; ;-5.23407e-07
2026-01-22 14:23:34.525051;2894000000.0; ;-5.02918e-07
2026-01-22 14:23:35.375868;2895000000.0; ;-4.74976e-07
2026-01-22 14:23:36.225959;2896000000.0; ;-4.2841e-07
2026-01-22 14:23:37.061723;2897000000.0; ;-3.18514e-07
2026-01-22 14:23:37.908007;2898000000.0; ;-3.79981e-07
2026-01-22 14:23:38.730290;2899000000.0; ;-3.25965e-07
2026-01-22 14:23:39.566470;2900000000.0; ;-2.75673e-07
2026-01-22 14:23:40.415452;2901000000.0; ;-3.0175e-07
2026-01-22 14:23:41.247475;2902000000.0; ;-2.86849e-07
2026-01-22 14:23:42.107376;2903000000.0; ;-2.16068e-07
2026-01-22 14:23:42.931671;2904000000.0; ;-1.24798e-07
2026-01-22 14:23:43.773380;2905000000.0; ;-1.28523e-07
2026-01-22 14:23:44.603112;2906000000.0; ;-1.15484e-07
2026-01-22 14:23:45.455141;2907000000.0; ;-9.6858e-08
2026-01-22 14:23:46.299918;2908000000.0; ;-1.21073e-07
2026-01-22 14:23:47.146392;2909000000.0; ;-2.14205e-07
2026-01-22 14:23:47.989386;2910000000.0; ;-2.27244e-07
2026-01-22 14:23:48.821233;2911000000.0; ;-2.08617e-07
2026-01-22 14:23:49.666771;2912000000.0; ;-2.6636e-07
2026-01-22 14:23:50.498315;2913000000.0; ;-2.47734e-07
2026-01-22 14:23:51.333260;2914000000.0; ;-2.3842e-07
2026-01-22 14:23:52.171385;2915000000.0; ;-2.6636e-07
2026-01-22 14:23:53.019219;2916000000.0; ;-2.51459e-07
2026-01-22 14:23:53.859320;2917000000.0; ;-1.34111e-07
2026-01-22 14:23:54.692692;2918000000.0; ;-1.39699e-07
2026-01-22 14:23:55.536385;2919000000.0; ;-1.28523e-07
2026-01-22 14:23:56.379653;2920000000.0; ;-1.86265e-07
2026-01-22 14:23:57.232343;2921000000.0; ;-1.71364e-07
2026-01-22 14:23:58.074032;2922000000.0; ;-8.75448e-08
2026-01-22 14:23:58.918089;2923000000.0; ;-1.37837e-07
2026-01-22 14:23:59.753892;2924000000.0; ;-9.49954e-08
2026-01-22 14:24:00.599456;2925000000.0; ;-1.35974e-07
2026-01-22 14:24:01.438941;2926000000.0; ;-1.39699e-07
2026-01-22 14:24:02.291478;2927000000.0; ;-5.77422e-08
2026-01-22 14:24:03.143662;2928000000.0; ;-2.34694e-07
2026-01-22 14:24:03.975510;2929000000.0; ;-2.08617e-07
2026-01-22 14:24:04.816511;2930000000.0; ;-2.60772e-07
2026-01-22 14:24:05.655787;2931000000.0; ;-2.29106e-07
2026-01-22 14:24:06.490639;2932000000.0; ;-1.52738e-07
2026-01-22 14:24:07.332663;2933000000.0; ;-2.1793e-07
2026-01-22 14:24:08.180044;2934000000.0; ;-1.71364e-07
2026-01-22 14:24:09.024112;2935000000.0; ;-1.7509e-07
2026-01-22 14:24:09.864968;2936000000.0; ;-5.02916e-08
2026-01-22 14:24:10.703776;2937000000.0; ;-8.38195e-08
2026-01-22 14:24:11.533086;2938000000.0; ;-1.17347e-07
2026-01-22 14:24:12.376086;2939000000.0; ;-1.22935e-07
2026-01-22 14:24:13.217020;2940000000.0; ;-1.28523e-07
2026-01-22 14:24:14.059574;2941000000.0; ;-2.98025e-07
2026-01-22 14:24:14.911981;2942000000.0; ;-1.71364e-07
2026-01-22 14:24:15.749361;2943000000.0; ;-2.96162e-07
2026-01-22 14:24:16.586340;2944000000.0; ;-2.70085e-07
2026-01-22 14:24:17.443784;2945000000.0; ;-2.27244e-07
2026-01-22 14:24:18.280596;2946000000.0; ;-3.33415e-07
2026-01-22 14:24:19.121216;2947000000.0; ;-3.70668e-07
2026-01-22 14:24:19.966321;2948000000.0; ;-3.94883e-07
2026-01-22 14:24:20.800525;2949000000.0; ;-4.91742e-07
2026-01-22 14:24:21.629844;2950000000.0; ;-5.9605e-07
2026-01-22 14:24:22.473709;2951000000.0; ;-6.2399e-07
2026-01-22 14:24:23.315592;2952000000.0; ;-8.04666e-07
2026-01-22 14:24:24.150500;2953000000.0; ;-8.79172e-07
2026-01-22 14:24:25.000543;2954000000.0; ;-9.98385e-07
2026-01-22 14:24:25.856628;2955000000.0; ;-1.09897e-06
2026-01-22 14:24:26.702424;2956000000.0; ;-1.42493e-06
2026-01-22 14:24:27.541602;2957000000.0; ;-1.76766e-06
2026-01-22 14:24:28.376368;2958000000.0; ;-2.45126e-06
2026-01-22 14:24:29.214469;2959000000.0; ;-3.20004e-06
2026-01-22 14:24:30.060189;2960000000.0; ;-3.7905e-06
2026-01-22 14:24:30.908313;2961000000.0; ;-3.77001e-06
2026-01-22 14:24:31.749880;2962000000.0; ;-3.85384e-06
2026-01-22 14:24:32.591931;2963000000.0; ;-3.90227e-06
2026-01-22 14:24:33.432947;2964000000.0; ;-3.4962e-06
2026-01-22 14:24:34.267891;2965000000.0; ;-2.75673e-06
2026-01-22 14:24:35.107041;2966000000.0; ;-2.12343e-06
2026-01-22 14:24:35.959852;2967000000.0; ;-1.72109e-06
2026-01-22 14:24:36.789816;2968000000.0; ;-1.56277e-06
2026-01-22 14:24:37.639977;2969000000.0; ;-1.32807e-06
2026-01-22 14:24:38.510063;2970000000.0; ;-1.17161e-06
2026-01-22 14:24:39.349737;2971000000.0; ;-9.68583e-07
2026-01-22 14:24:40.199841;2972000000.0; ;-8.71722e-07
2026-01-22 14:24:41.049932;2973000000.0; ;-8.34469e-07
2026-01-22 14:24:41.893160;2974000000.0; ;-5.17819e-07
2026-01-22 14:24:42.735257;2975000000.0; ;-4.32135e-07
2026-01-22 14:24:43.568292;2976000000.0; ;-4.69388e-07
2026-01-22 14:24:44.416503;2977000000.0; ;-4.50762e-07
2026-01-22 14:24:45.245130;2978000000.0; ;-4.07921e-07
2026-01-22 14:24:46.101774;2979000000.0; ;-4.15372e-07
2026-01-22 14:24:46.960661;2980000000.0; ;-3.96745e-07
2026-01-22 14:24:47.793104;2981000000.0; ;-4.47037e-07
2026-01-22 14:24:48.630584;2982000000.0; ;-4.58213e-07
2026-01-22 14:24:49.481975;2983000000.0; ;-2.77536e-07
2026-01-22 14:24:50.323447;2984000000.0; ;-3.0175e-07
2026-01-22 14:24:51.158572;2985000000.0; ;-2.99888e-07
2026-01-22 14:24:52.011828;2986000000.0; ;-2.90574e-07
2026-01-22 14:24:52.859892;2987000000.0; ;-2.86849e-07
2026-01-22 14:24:53.706482;2988000000.0; ;-3.89295e-07
2026-01-22 14:24:54.542331;2989000000.0; ;-3.61355e-07
2026-01-22 14:24:55.371629;2990000000.0; ;-2.86849e-07
2026-01-22 14:24:56.217276;2991000000.0; ;-2.943e-07
2026-01-22 14:24:57.066366;2992000000.0; ;-2.23518e-07
2026-01-22 14:24:57.894299;2993000000.0; ;-2.3842e-07
2026-01-22 14:24:58.759989;2994000000.0; ;-2.73811e-07
2026-01-22 14:24:59.610602;2995000000.0; ;-3.79981e-07
2026-01-22 14:25:00.469049;2996000000.0; ;-3.07338e-07
2026-01-22 14:25:01.307021;2997000000.0; ;-2.90574e-07
2026-01-22 14:25:02.150698;2998000000.0; ;-2.32832e-07
2026-01-22 14:25:03.009946;2999000000.0; ;-2.60772e-07
2026-01-22 14:25:03.857127;3000000000.0; ;-2.49596e-07
2026-01-22 14:25:04.699985;3001000000.0; ;-2.45871e-07
2026-01-22 14:25:05.560926;3002000000.0; ;-2.12342e-07
2026-01-22 14:25:06.416802;3003000000.0; ;-3.12926e-07
2026-01-22 14:25:07.267558;3004000000.0; ;-2.73811e-07
2026-01-22 14:25:08.114247;3005000000.0; ;-1.7509e-07
2026-01-22 14:25:08.966965;3006000000.0; ;-2.27244e-07
2026-01-22 14:25:09.820041;3007000000.0; ;-2.90574e-07
2026-01-22 14:25:10.676548;3008000000.0; ;-1.73227e-07
2026-01-22 14:25:11.524801;3009000000.0; ;-2.53322e-07
2026-01-22 14:25:12.385705;3010000000.0; ;-2.58909e-07
2026-01-22 14:25:13.227665;3011000000.0; ;-1.13622e-07
2026-01-22 14:25:14.072858;3012000000.0; ;-9.6858e-08
2026-01-22 14:25:14.913793;3013000000.0; ;-1.35974e-07
2026-01-22 14:25:15.766461;3014000000.0; ;-1.39699e-07
2026-01-22 14:25:16.613788;3015000000.0; ;-1.60188e-07
2026-01-22 14:25:17.458272;3016000000.0; ;-6.5193e-08
2026-01-22 14:25:18.317172;3017000000.0; ;-2.01167e-07
2026-01-22 14:25:19.149270;3018000000.0; ;-1.21073e-07
2026-01-22 14:25:19.986130;3019000000.0; ;-8.00942e-08
2026-01-22 14:25:20.833418;3020000000.0; ;-1.28523e-07
2026-01-22 14:25:21.683491;3021000000.0; ;-2.23518e-07
2026-01-22 14:25:22.528086;3022000000.0; ;-1.99304e-07
2026-01-22 14:25:23.358231;3023000000.0; ;-2.23518e-07
2026-01-22 14:25:24.203387;3024000000.0; ;-1.60188e-07
2026-01-22 14:25:25.054947;3025000000.0; ;-2.58909e-07
2026-01-22 14:25:25.906389;3026000000.0; ;-2.6636e-07
2026-01-22 14:25:26.751761;3027000000.0; ;-2.42146e-07
2026-01-22 14:25:27.596270;3028000000.0; ;-2.55184e-07
2026-01-22 14:25:28.454074;3029000000.0; ;-2.58909e-07
