TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-01-22 14:40:30.269513;50; ;-3.0175e-07
2026-01-22 14:40:30.919425;100; ;-5.53209e-07
2026-01-22 14:40:31.577774;150; ;-9.79759e-07
2026-01-22 14:40:32.222058;200; ;-1.44915e-06
2026-01-22 14:40:32.887254;250; ;-1.80119e-06
2026-01-22 14:40:33.538114;300; ;-2.05637e-06
2026-01-22 14:40:34.187791;350; ;-2.37675e-06
2026-01-22 14:40:34.847704;400; ;-2.67477e-06
2026-01-22 14:40:35.490542;450; ;-2.83124e-06
2026-01-22 14:40:36.136744;500; ;-3.15161e-06
2026-01-22 14:40:36.783172;550; ;-3.30621e-06
2026-01-22 14:40:37.441009;600; ;-3.47012e-06
2026-01-22 14:40:38.094504;650; ;-3.40307e-06
2026-01-22 14:40:38.753458;700; ;-3.20749e-06
2026-01-22 14:40:39.410822;750; ;-2.85359e-06
2026-01-22 14:40:40.067658;800; ;-2.42332e-06
2026-01-22 14:40:40.715626;850; ;-2.16255e-06
2026-01-22 14:40:41.375161;900; ;-1.94462e-06
2026-01-22 14:40:42.037487;950; ;-1.66335e-06
2026-01-22 14:40:42.685006;1000; ;-1.61865e-06
2026-01-22 14:40:43.343109;1050; ;-1.52924e-06
2026-01-22 14:40:43.986750;1100; ;-1.52179e-06
2026-01-22 14:40:44.645308;1150; ;-1.39699e-06
2026-01-22 14:40:45.291484;1200; ;-1.33552e-06
2026-01-22 14:40:45.951909;1250; ;-1.47336e-06
2026-01-22 14:40:46.596588;1300; ;-1.59629e-06
2026-01-22 14:40:47.248292;1350; ;-1.7155e-06
2026-01-22 14:40:47.898822;1400; ;-1.83471e-06
2026-01-22 14:40:48.557035;1450; ;-1.99304e-06
2026-01-22 14:40:49.196392;1500; ;-2.1197e-06
2026-01-22 14:40:49.845724;1550; ;-2.22401e-06
2026-01-22 14:40:50.497181;1600; ;-2.4941e-06
2026-01-22 14:40:51.145561;1650; ;-2.62262e-06
2026-01-22 14:40:51.796213;1700; ;-2.89829e-06
2026-01-22 14:40:52.444055;1750; ;-2.91505e-06
2026-01-22 14:40:53.091261;1800; ;-3.04171e-06
2026-01-22 14:40:53.742376;1850; ;-3.15161e-06
2026-01-22 14:40:54.397077;1900; ;-2.98583e-06
2026-01-22 14:40:55.056740;1950; ;-2.8033e-06
2026-01-22 14:40:55.700190;2000; ;-2.66173e-06
2026-01-22 14:40:56.359264;2050; ;-2.38606e-06
2026-01-22 14:40:57.006299;2100; ;-2.34695e-06
2026-01-22 14:40:57.653336;2150; ;-2.09177e-06
2026-01-22 14:40:58.307360;2200; ;-1.84216e-06
2026-01-22 14:40:58.956134;2250; ;-1.72668e-06
2026-01-22 14:40:59.606694;2300; ;-1.6112e-06
2026-01-22 14:41:00.260412;2350; ;-1.56649e-06
2026-01-22 14:41:00.909363;2400; ;-1.74903e-06
2026-01-22 14:41:01.560573;2450; ;-1.73599e-06
2026-01-22 14:41:02.215924;2500; ;-1.641e-06
2026-01-22 14:41:02.867107;2550; ;-1.93344e-06
2026-01-22 14:41:03.513584;2600; ;-2.12343e-06
2026-01-22 14:41:04.166339;2650; ;-2.1197e-06
2026-01-22 14:41:04.819913;2700; ;-2.25754e-06
2026-01-22 14:41:05.476567;2750; ;-2.414e-06
2026-01-22 14:41:06.132168;2800; ;-2.4438e-06
2026-01-22 14:41:06.785078;2850; ;-2.67664e-06
2026-01-22 14:41:07.444073;2900; ;-2.85359e-06
2026-01-22 14:41:08.100941;2950; ;-3.00446e-06
2026-01-22 14:41:08.743602;3000; ;-2.97466e-06
2026-01-22 14:41:09.405147;3050; ;-3.09387e-06
2026-01-22 14:41:10.042729;3100; ;-2.97838e-06
2026-01-22 14:41:10.714170;3150; ;-2.88711e-06
2026-01-22 14:41:11.355440;3200; ;-2.79771e-06
2026-01-22 14:41:12.009954;3250; ;-2.68781e-06
2026-01-22 14:41:12.661205;3300; ;-2.41028e-06
2026-01-22 14:41:13.325677;3350; ;-2.16813e-06
2026-01-22 14:41:13.965300;3400; ;-2.23705e-06
2026-01-22 14:41:14.626749;3450; ;-2.06941e-06
2026-01-22 14:41:15.266415;3500; ;-1.97256e-06
2026-01-22 14:41:15.930704;3550; ;-1.99118e-06
